crema | f. Producto cosmético o medicinal de consistencia pastosa que se aplica generalmente sobre la piel.
estadística | 1. f. Estudio de los datos cuantitativos de la población, de los recursos naturales e industriales, del tráfico o de cualquier otra manifestación de las sociedades humanas. 2.f. Rama de la matemática que utiliza grandes conjuntos de datos numéricos para obtener inferencias basadas en el cálculo de probabilidades.
mapa | m. Representación geográfica de la Tierra o parte de ella en una superficie plana.
agua | f. Líquido transparente, incoloro, inodoro e insípido en estado puro, cuyas moléculas están formadas por dos átomos de hidrógeno y uno de oxígeno, y que constituye el componente más abundante de la superficie terrestre y el mayoritario de todos los organismos vivos. (Fórm. H2O).
mensaje | m. Recado que envía alguien a otra persona.
lima | f. Fruto del limero, de forma esferoidal aplanada y de unos cinco centímetros de diámetro, pezón bien saliente de la base, corteza lisa y amarilla, y pulpa verdosa, dividida en gajos, comestible, jugosa y de sabor algo dulce.
cohete | 1. m. Fuego de artificio que consta de un canuto resistente cargado de pólvora y adherido al extremo de una varilla ligera. Encendida la mecha que va en la parte inferior del canuto, la reacción que producen los gases expulsados le imprime un rápido movimiento hacia la altura, donde estalla con fuerte estampido. 2. m. Artefacto que se mueve en el espacio por propulsión a chorro y que se puede emplear como arma de guerra o como instrumento de investigación científica.
rey | m. y f. Monarca soberano de un reino.
edificio | m. Construcción estable, hecha con materiales resistentes, para ser habitada o para otros usos.
césped | m. Hierba menuda y tupida que cubre el suelo.
presidencia | 1. f. Dignidad, empleo o cargo de presidente. 2. f. Acción de presidir.
hojas | f. Cada una de las láminas, generalmente verdes, planas y delgadas, de que se visten los vegetales, unidas al tallo o a las ramas por el pecíolo o, a veces, por una parte basal alargada, en las que principalmente se realizan las funciones de transpiración y fotosíntesis.
parlante | m. Am. Mer., C. Rica, El Salv. y Nic. altavoz (aparato que transforma la corriente eléctrica en sonido).
colegio | m. Establecimiento de enseñanza para niños y jóvenes.
granizo | m. Agua congelada que desciende con violencia de las nubes, en granos más o menos duros y gruesos, pero no en copos como la nieve.
pestaña | f. Cada uno de los pelos que hay en los bordes de los párpados, para defensa de los ojos.
lámpara |  f. Utensilio o aparato que, colgado o sostenido sobre un pie, sirve de soporte a una o varias luces artificiales.
mano | f. Parte del cuerpo humano unida a la extremidad del antebrazo y que comprende desde la muñeca inclusive hasta la punta de los dedos.
monitor | m. Aparato electrónico que, a través de señales visuales o acústicas, permite hacer el seguimiento de un proceso o un fenómeno.
flor | f. Brote de muchas plantas, formado por hojas de colores, del que se formará el fruto.
música | f. Arte de combinar los sonidos de la voz humana o de los instrumentos, o de unos y otros a la vez, de suerte que produzcan deleite, conmoviendo la sensibilidad, ya sea alegre, ya tristemente.
hombre | m. Varón que tiene las cualidades consideradas masculinas por excelencia.
tornillo | m. Pieza cilíndrica o cónica, por lo general metálica, con resalte en hélice y cabeza apropiada para enroscarla.
habitación | f. En una vivienda, cada uno de los espacios entre tabiques destinados a dormir, comer, etc.
velero | m. Barco de vela.
abuela | f. Madre de uno de los padres de una persona.
abuelo | m. Padre de uno de los padres de una persona.
palo | m. Pieza de madera u otro material, mucho más larga que gruesa, generalmente cilíndrica y fácil de manejar.
satélite | m. Astron. Cuerpo celeste opaco que solo brilla por la luz refleja del Sol y gira alrededor de un planeta.
templo | m. Edificio o lugar destinado pública y exclusivamente a un culto.
lentes | m. o f. lente provista de armadura que se coloca cerca del ojo para corregir defectos de la visión. U. m. en pl.
bolígrafo | m. Instrumento para escribir que tiene en su interior un tubo de tinta especial y, en la punta, una bolita metálica que gira libremente.
plato | m. Recipiente bajo y generalmente redondo, con una concavidad en medio y borde comúnmente plano alrededor, empleado para servir los alimentos y comer en él y para otros usos.
nube | f. Agregado visible de minúsculas gotitas de agua, de cristales de hielo o de ambos, suspendido en la atmósfera y producido por la condensación de vapor de agua.
gobierno | m. Órgano superior del poder ejecutivo de un Estado o de una comunidad política, constituido por el presidente y los ministros o consejeros.
botella | f. Recipiente de cristal, vidrio, plástico u otro material, con el cuello estrecho, que sirve para contener líquidos.
castillo | m. Lugar fuerte, cercado de murallas, baluartes, fosos y otras fortificaciones.
enano | adj. Dicho de un ser vivo o de una cosa: Diminuto en su clase o especie.
casa | f. Edificio de una o pocas plantas destinado a vivienda unifamiliar, en oposición a piso.
libro | m. Conjunto de muchas hojas de papel u otro material semejante que, encuadernadas, forman un volumen.
persona | f. Individuo de la especie humana.
planeta | m. Cuerpo celeste sin luz propia que gira en una órbita elíptica alrededor de una estrella, en particular los que giran alrededor del Sol: Mercurio, Venus, la Tierra, Marte, Júpiter, Saturno, Urano, Neptuno y Plutón.
televisor | m. Aparato receptor de televisión.
guantes | m. Prenda para cubrir la mano, que se hace, por lo común, de piel, tela o tejido de punto, y tiene una funda para cada dedo.
metal | m. Quím. Cada uno de los elementos químicos buenos conductores del calor y de la electricidad, con un brillo característico, sólidos a temperatura ordinaria, salvo el mercurio, y que en sus sales en disolución forman iones electropositivos o cationes.
teléfono | m. Conjunto de aparatos e hilos conductores con los cuales se transmite a distancia la palabra y toda clase de sonidos por la acción de la electricidad.
proyector | m. Aparato que sirve para proyectar imágenes ópticas fijas o en movimiento.
mono | m. y f. Animal del suborden de los simios.
muela | f. Cada uno de los dientes posteriores a los caninos y que sirven para moler o triturar los alimentos.
petróleo | m. Líquido natural oleaginoso e inflamable, constituido por una mezcla de hidrocarburos, que se extrae de lechos geológicos continentales o marítimos y del que se obtienen productos utilizables con fines energéticos o industriales, como la gasolina, el queroseno o el gasóleo.
percha | f. Utensilio ligero que consta de un soporte donde se cuelga un traje u otra prenda parecida y que tiene en su parte superior un gancho para suspenderlo de una barra.
remate | m. Acción de rematar.
debate | m. controversia (discusión).
anillo | m. Aro de metal u otra materia, liso o con labores, y con perlas o piedras preciosas o sin ellas, que se lleva, principalmente por adorno, en los dedos de la mano.
cuaderno | m. Conjunto o agregado de algunos pliegos de papel, doblados y cosidos en forma de libro.
ruido | m. Sonido inarticulado, por lo general desagradable.
pared | f. Obra de albañilería vertical, que cierra o limita un espacio.
taladro | m. Herramienta aguda o cortante con que se agujerea la madera u otra cosa.
herramienta | f. Instrumento, por lo común de hierro o acero, con que trabajan los artesanos.
cartas | f. Papel escrito, y ordinariamente cerrado, que una persona envía a otra para comunicarse con ella.
chocolate | m. Pasta hecha con cacao y azúcar molidos, a la que generalmente se añade canela o vainilla.
anteojos | m. Instrumento óptico que, mediante un tubo con dos lentes situadas en sus extremos, amplía las imágenes de los objetos lejanos.
impresora | f. Máquina que, conectada a una computadora u otro dispositivo electrónico, imprime los resultados de las operaciones.
caramelos | m. Azúcar fundido y endurecido.
living | m. cuarto de estar.
zapato | m. Calzado que no pasa del tobillo, con la parte inferior de suela y lo demás de piel, fieltro, paño u otro tejido, más o menos escotado por el empeine.
